,node_idx,AirportID,Airline,Stops,DestAirportID,SourceAirportID,DestSourceRatio,Country
0,0,1,2.0,0.0,5.0,5.0,1.0,Papua New Guinea
1,1,2,2.0,0.0,8.0,8.0,1.0,Papua New Guinea
2,2,3,2.0,0.0,10.0,12.0,0.8333333333333334,Papua New Guinea
3,3,4,2.0,0.0,11.0,11.0,1.0,Papua New Guinea
4,4,5,4.0,0.0,51.0,49.0,1.0408163265306123,Papua New Guinea
5,5,6,2.0,0.0,6.0,6.0,1.0,Papua New Guinea
6,6,7,1.0,0.0,5.0,5.0,1.0,Greenland
7,7,8,2.0,0.0,9.0,9.0,1.0,Greenland
8,8,9,1.0,0.0,8.0,8.0,1.0,Greenland
9,9,10,1.0,0.0,1.0,1.0,1.0,Greenland
10,10,11,1.0,0.0,1.0,1.0,1.0,Iceland
11,11,12,1.0,0.0,1.0,1.0,1.0,Iceland
12,12,15,1.0,0.0,1.0,1.0,1.0,Iceland
13,13,16,8.0,0.0,45.0,46.0,0.9782608695652174,Iceland
14,14,18,1.0,0.0,5.0,5.0,1.0,Iceland
15,15,21,3.0,0.0,4.0,4.0,1.0,Canada
16,16,24,1.0,0.0,3.0,3.0,1.0,Canada
17,17,27,3.0,0.0,6.0,6.0,1.0,Canada
18,18,28,2.0,0.0,4.0,4.0,1.0,Canada
19,19,29,3.0,0.0,6.0,6.0,1.0,Canada
20,20,30,3.0,0.0,6.0,6.0,1.0,Canada
21,21,31,1.0,0.0,1.0,1.0,1.0,Canada
22,22,32,2.0,0.0,6.0,6.0,1.0,Canada
23,23,33,2.0,0.0,2.0,2.0,1.0,Canada
24,24,34,1.0,0.0,2.0,2.0,1.0,Canada
25,25,36,1.0,0.0,2.0,2.0,1.0,Canada
26,26,37,2.0,0.0,5.0,5.0,1.0,Canada
27,27,40,2.0,0.0,4.0,4.0,1.0,Canada
28,28,41,3.0,0.0,6.0,5.0,1.2,Canada
29,29,45,3.0,0.0,7.0,8.0,0.875,Canada
30,30,48,1.0,0.0,2.0,2.0,1.0,Canada
31,31,49,16.0,0.0,68.0,71.0,0.9577464788732394,Canada
32,32,50,3.0,0.0,7.0,7.0,1.0,Canada
33,33,54,4.0,0.0,8.0,8.0,1.0,Canada
34,34,55,3.0,0.0,18.0,18.0,1.0,Canada
35,35,56,1.0,0.0,4.0,4.0,1.0,Canada
36,36,58,2.0,0.0,4.0,5.0,0.8,Canada
37,37,60,2.0,0.0,2.0,2.0,1.0,Canada
38,38,61,1.0,0.0,1.0,1.0,1.0,Canada
39,39,62,1.0,0.0,3.0,3.0,1.0,Canada
40,40,63,1.0,0.0,2.0,2.0,1.0,Canada
41,41,65,2.0,0.0,3.0,3.0,1.0,Canada
42,42,67,1.0,0.0,4.0,3.0,1.3333333333333333,Canada
43,43,68,2.0,0.0,3.0,3.0,1.0,Canada
44,44,69,2.0,0.0,4.0,5.0,0.8,Canada
45,45,70,1.0,0.0,4.0,4.0,1.0,Canada
46,46,71,1.0,0.0,4.0,4.0,1.0,Canada
47,47,72,2.0,0.0,3.0,3.0,1.0,Canada
48,48,73,13.0,0.0,43.0,52.0,0.8269230769230769,Canada
49,49,75,2.0,0.0,3.0,3.0,1.0,Canada
50,50,77,1.0,0.0,1.0,1.0,1.0,Canada
51,51,78,3.0,0.0,5.0,5.0,1.0,Canada
52,52,79,3.0,0.0,3.0,3.0,1.0,Canada
53,53,80,2.0,0.0,5.0,5.0,1.0,Canada
54,54,85,1.0,0.0,1.0,1.0,1.0,Canada
55,55,87,8.0,0.0,15.0,15.0,1.0,Canada
56,56,90,4.0,0.0,12.0,13.0,0.9230769230769231,Canada
57,57,91,1.0,0.0,3.0,3.0,1.0,Canada
58,58,94,2.0,0.0,4.0,4.0,1.0,Canada
59,59,99,1.0,0.0,2.0,2.0,1.0,Canada
60,60,100,13.0,0.0,45.0,44.0,1.0227272727272727,Canada
61,61,105,1.0,0.0,1.0,1.0,1.0,Canada
62,62,106,1.0,0.0,2.0,2.0,1.0,Canada
63,63,108,2.0,0.0,2.0,2.0,1.0,Canada
64,64,109,1.0,0.0,2.0,2.0,1.0,Canada
65,65,111,11.0,0.0,28.0,29.0,0.9655172413793104,Canada
66,66,112,2.0,0.0,3.0,3.0,1.0,Canada
67,67,113,3.0,0.0,3.0,3.0,1.0,Canada
68,68,115,1.0,0.0,3.0,3.0,1.0,Canada
69,69,116,1.0,0.0,1.0,1.0,1.0,Canada
70,70,117,5.0,0.0,10.0,10.0,1.0,Canada
71,71,119,4.0,0.0,7.0,7.0,1.0,Canada
72,72,120,4.0,0.0,16.0,17.0,0.9411764705882353,Canada
73,73,121,5.0,0.0,13.0,14.0,0.9285714285714286,Canada
74,74,122,2.0,0.0,4.0,4.0,1.0,Canada
75,75,125,1.0,0.0,3.0,3.0,1.0,Canada
76,76,126,1.0,0.0,2.0,2.0,1.0,Canada
77,77,127,2.0,0.0,4.0,4.0,1.0,Canada
78,78,128,2.0,0.0,2.0,2.0,1.0,Canada
79,79,132,3.0,0.04,25.0,23.0,1.0869565217391304,Canada
80,80,133,3.0,0.0,6.0,5.0,1.2,Canada
81,81,135,1.0,0.0,3.0,3.0,1.0,Canada
82,82,136,1.0,0.0,4.0,4.0,1.0,Canada
83,83,139,1.0,0.0,2.0,2.0,1.0,Canada
84,84,140,2.0,0.0,3.0,3.0,1.0,Canada
85,85,141,2.0,0.0,6.0,7.0,0.8571428571428571,Canada
86,86,143,4.0,0.0,5.0,6.0,0.8333333333333334,Canada
87,87,144,2.0,0.0,14.0,14.0,1.0,Canada
88,88,145,1.0,0.0,1.0,1.0,1.0,Canada
89,89,146,31.0,0.0,185.0,186.0,0.9946236559139785,Canada
90,90,147,2.0,0.0,3.0,5.0,0.6,Canada
91,91,148,2.0,0.0,4.0,4.0,1.0,Canada
92,92,149,3.0,0.0,5.0,5.0,1.0,Canada
93,93,152,2.0,0.0,2.0,2.0,1.0,Canada
94,94,153,3.0,0.0,7.0,7.0,1.0,Canada
95,95,154,2.0,0.0,10.0,9.0,1.1111111111111112,Canada
96,96,155,3.0,0.0,6.0,6.0,1.0,Canada
97,97,156,31.0,0.006329113924050633,158.0,157.0,1.0063694267515924,Canada
98,98,160,9.0,0.0,41.0,40.0,1.025,Canada
99,99,161,5.0,0.0,16.0,15.0,1.0666666666666667,Canada
100,100,162,3.0,0.0,5.0,5.0,1.0,Canada
101,101,164,2.0,0.0,4.0,4.0,1.0,Canada
102,102,166,4.0,0.0,15.0,15.0,1.0,Canada
103,103,167,1.0,0.0,1.0,1.0,1.0,Canada
104,104,168,3.0,0.0,6.0,6.0,1.0,Canada
105,105,169,2.0,0.0,18.0,16.0,1.125,Canada
106,106,170,2.0,0.0,4.0,4.0,1.0,Canada
107,107,172,3.0,0.0,10.0,10.0,1.0,Canada
108,108,173,4.0,0.0,5.0,5.0,1.0,Canada
109,109,174,3.0,0.0,6.0,6.0,1.0,Canada
110,110,175,1.0,0.0,2.0,2.0,1.0,Canada
111,111,176,2.0,0.0,5.0,5.0,1.0,Canada
112,112,177,2.0,0.0,2.0,2.0,1.0,Canada
113,113,178,16.0,0.0,115.0,113.0,1.0176991150442478,Canada
114,114,179,3.0,0.0,4.0,4.0,1.0,Canada
115,115,180,1.0,0.0,3.0,3.0,1.0,Canada
116,116,181,1.0,0.0,1.0,1.0,1.0,Canada
117,117,182,2.0,0.0,4.0,4.0,1.0,Canada
118,118,183,2.0,0.0,4.0,4.0,1.0,Canada
119,119,184,5.0,0.0,13.0,13.0,1.0,Canada
120,120,187,2.0,0.0,8.0,8.0,1.0,Canada
121,121,188,3.0,0.0,15.0,15.0,1.0,Canada
122,122,189,9.0,0.0,22.0,21.0,1.0476190476190477,Canada
123,123,190,1.0,0.0,2.0,1.0,2.0,Canada
124,124,192,3.0,0.0,8.0,8.0,1.0,Canada
125,125,193,46.0,0.0,319.0,317.0,1.0063091482649842,Canada
126,126,196,10.0,0.0,30.0,28.0,1.0714285714285714,Canada
127,127,198,1.0,0.0,1.0,1.0,1.0,Canada
128,128,199,1.0,0.0,1.0,1.0,1.0,Canada
129,129,200,1.0,0.0,2.0,2.0,1.0,Canada
130,130,202,6.0,0.0,21.0,21.0,1.0,Canada
131,131,206,1.0,0.0,1.0,1.0,1.0,Canada
132,132,209,2.0,0.0,6.0,6.0,1.0,Algeria
133,133,210,22.0,0.0,85.0,85.0,1.0,Algeria
134,134,211,1.0,0.0,2.0,1.0,2.0,Algeria
135,135,216,1.0,0.0,4.0,4.0,1.0,Algeria
136,136,220,2.0,0.0,9.0,9.0,1.0,Algeria
137,137,221,2.0,0.0,14.0,14.0,1.0,Algeria
138,138,222,1.0,0.0,1.0,1.0,1.0,Algeria
139,139,224,1.0,0.0,2.0,2.0,1.0,Algeria
140,140,225,1.0,0.0,1.0,2.0,0.5,Algeria
141,141,230,2.0,0.0,6.0,6.0,1.0,Algeria
142,142,231,8.0,0.0,33.0,33.0,1.0,Algeria
143,143,233,1.0,0.0,2.0,1.0,2.0,Algeria
144,144,234,1.0,0.0,6.0,5.0,1.2,Algeria
145,145,235,2.0,0.0,4.0,4.0,1.0,Algeria
146,146,236,1.0,0.0,2.0,2.0,1.0,Algeria
147,147,237,1.0,0.0,4.0,4.0,1.0,Algeria
148,148,238,2.0,0.0,6.0,6.0,1.0,Algeria
149,149,239,1.0,0.0,2.0,3.0,0.6666666666666666,Algeria
150,150,240,1.0,0.0,1.0,1.0,1.0,Algeria
151,151,243,1.0,0.0,5.0,6.0,0.8333333333333334,Algeria
152,152,244,1.0,0.0,2.0,2.0,1.0,Algeria
153,153,245,19.0,0.0,41.0,39.0,1.0512820512820513,Benin
154,154,246,15.0,0.0,33.0,33.0,1.0,Burkina Faso
155,155,247,1.0,0.0,2.0,2.0,1.0,Burkina Faso
156,156,248,27.0,0.0,54.0,53.0,1.0188679245283019,Ghana
157,157,249,3.0,0.0,3.0,3.0,1.0,Ghana
158,158,251,1.0,0.0,1.0,1.0,1.0,Ghana
159,159,252,2.0,0.0,2.0,2.0,1.0,Ghana
160,160,253,25.0,0.02,50.0,52.0,0.9615384615384616,Cote d'Ivoire
161,161,260,8.0,0.0,28.0,28.0,1.0,Nigeria
162,162,262,1.0,0.0,2.0,2.0,1.0,Nigeria
163,163,263,1.0,0.0,2.0,2.0,1.0,Nigeria
164,164,264,2.0,0.0,3.0,3.0,1.0,Nigeria
165,165,266,1.0,0.0,1.0,1.0,1.0,Nigeria
166,166,267,1.0,0.0,1.0,1.0,1.0,Nigeria
167,167,268,1.0,0.0,1.0,1.0,1.0,Nigeria
168,168,269,1.0,0.0,1.0,1.0,1.0,Nigeria
169,169,270,6.0,0.0,7.0,7.0,1.0,Nigeria
170,170,273,27.0,0.0,59.0,58.0,1.0172413793103448,Nigeria
171,171,275,7.0,0.0,8.0,8.0,1.0,Nigeria
172,172,276,1.0,0.0,1.0,1.0,1.0,Nigeria
173,173,277,1.0,0.0,1.0,1.0,1.0,Nigeria
174,174,280,9.0,0.0,17.0,17.0,1.0,Niger
175,175,286,5.0,0.0,15.0,16.0,0.9375,Tunisia
176,176,287,20.0,0.0,87.0,88.0,0.9886363636363636,Tunisia
177,177,290,1.0,0.0,2.0,1.0,2.0,Tunisia
178,178,291,1.0,0.0,2.0,2.0,1.0,Tunisia
179,179,293,9.0,0.0,36.0,36.0,1.0,Tunisia
180,180,295,4.0,0.0,10.0,10.0,1.0,Tunisia
181,181,296,2.0,0.0,2.0,4.0,0.5,Tunisia
182,182,298,8.0,0.0,20.0,21.0,0.9523809523809523,Togo
183,183,299,2.0,0.0,2.0,2.0,1.0,Belgium
184,184,302,63.0,0.0,316.0,315.0,1.0031746031746032,Belgium
185,185,304,3.0,0.0,84.0,84.0,1.0,Belgium
186,186,309,3.0,0.0,9.0,8.0,1.125,Belgium
187,187,310,1.0,0.0,1.0,1.0,1.0,Belgium
188,188,337,17.0,0.0,83.0,82.0,1.0121951219512195,Germany
189,189,338,11.0,0.0,22.0,22.0,1.0,Germany
190,190,339,1.0,0.0,6.0,6.0,1.0,Germany
191,191,340,100.0,0.0,497.0,493.0,1.0081135902636917,Germany
192,192,341,4.0,0.0,11.0,11.0,1.0,Germany
193,193,342,42.0,0.0,161.0,160.0,1.00625,Germany
194,194,344,26.0,0.0,134.0,131.0,1.0229007633587786,Germany
195,195,345,57.0,0.0,285.0,285.0,1.0,Germany
196,196,346,77.0,0.0,368.0,360.0,1.0222222222222221,Germany
197,197,347,17.0,0.0,48.0,47.0,1.0212765957446808,Germany
198,198,348,13.0,0.0,40.0,39.0,1.0256410256410255,Germany
199,199,349,4.0,0.0,9.0,9.0,1.0,Germany
200,200,350,30.0,0.0,137.0,136.0,1.0073529411764706,Germany
201,201,351,48.0,0.0,208.0,210.0,0.9904761904761905,Germany
202,202,352,24.0,0.0,76.0,76.0,1.0,Germany
203,203,353,13.0,0.0,50.0,50.0,1.0,Germany
204,204,355,2.0,0.0,47.0,47.0,1.0,Germany
205,205,356,1.0,0.0,1.0,1.0,1.0,Germany
206,206,362,1.0,0.0,1.0,1.0,1.0,Germany
207,207,364,2.0,0.0,4.0,4.0,1.0,Germany
208,208,371,4.0,0.0,11.0,11.0,1.0,Germany
209,209,373,11.0,0.0,33.0,34.0,0.9705882352941176,Germany
210,210,374,1.0,0.0,1.0,1.0,1.0,Germany
211,211,382,6.0,0.0,13.0,13.0,1.0,Germany
212,212,393,1.0,0.0,5.0,6.0,0.8333333333333334,Germany
213,213,400,1.0,0.0,2.0,2.0,1.0,Germany
214,214,410,3.0,0.0,8.0,8.0,1.0,Germany
215,215,413,1.0,0.0,1.0,1.0,1.0,Estonia
216,216,415,15.0,0.0,38.0,38.0,1.0,Estonia
217,217,416,2.0,0.0,2.0,2.0,1.0,Estonia
218,218,421,32.0,0.0,159.0,161.0,0.9875776397515528,Finland
219,219,428,2.0,0.0,2.0,1.0,2.0,Finland
220,220,429,1.0,0.0,1.0,1.0,1.0,Finland
221,221,430,2.0,0.0,3.0,2.0,1.5,Finland
222,222,432,2.0,0.0,2.0,3.0,0.6666666666666666,Finland
223,223,433,2.0,0.0,2.0,2.0,1.0,Finland
224,224,435,3.0,0.0,3.0,3.0,1.0,Finland
225,225,437,1.0,0.0,1.0,1.0,1.0,Finland
226,226,438,2.0,0.0,2.0,2.0,1.0,Finland
227,227,439,1.0,0.0,1.0,1.0,1.0,Finland
228,228,441,1.0,0.0,3.0,3.0,1.0,Finland
229,229,442,3.0,0.0,4.0,4.0,1.0,Finland
230,230,446,3.0,0.0,4.0,4.0,1.0,Finland
231,231,448,2.0,0.0,3.0,3.0,1.0,Finland
232,232,453,2.0,0.0,2.0,2.0,1.0,Finland
233,233,455,2.0,0.0,2.0,2.0,1.0,Finland
234,234,458,5.0,0.0,12.0,12.0,1.0,Finland
235,235,460,7.0,0.0,8.0,8.0,1.0,Finland
236,236,462,5.0,0.0,5.0,5.0,1.0,Finland
237,237,465,5.0,0.0,36.0,34.0,1.0588235294117647,United Kingdom
238,238,467,6.0,0.0,21.0,21.0,1.0,United Kingdom
239,239,468,1.0,0.0,5.0,5.0,1.0,United Kingdom
240,240,469,26.0,0.0,133.0,131.0,1.015267175572519,United Kingdom
241,241,472,1.0,0.0,1.0,1.0,1.0,United Kingdom
242,242,478,50.0,0.0,316.0,311.0,1.0160771704180065,United Kingdom
243,243,481,4.0,0.0,6.0,6.0,1.0,United Kingdom
244,244,488,14.0,0.0,32.0,31.0,1.032258064516129,United Kingdom
245,245,490,15.0,0.0,100.0,100.0,1.0,United Kingdom
246,246,491,4.0,0.0,58.0,58.0,1.0,United Kingdom
247,247,492,8.0,0.0,108.0,106.0,1.0188679245283019,United Kingdom
248,248,494,3.0,0.0,19.0,19.0,1.0,United Kingdom
249,249,495,5.0,0.0,33.0,33.0,1.0,United Kingdom
250,250,497,1.0,0.0,2.0,2.0,1.0,Guernsey
251,251,498,4.0,0.0,18.0,18.0,1.0,Guernsey
252,252,499,10.0,0.0,38.0,38.0,1.0,Jersey
253,253,502,47.0,0.0,356.0,352.0,1.0113636363636365,United Kingdom
254,254,503,12.0,0.0,62.0,66.0,0.9393939393939394,United Kingdom
255,255,507,86.0,0.0,525.0,522.0,1.0057471264367817,United Kingdom
256,256,508,2.0,0.0,14.0,14.0,1.0,United Kingdom
257,257,514,3.0,0.0,9.0,9.0,1.0,United Kingdom
258,258,515,4.0,0.0,5.0,5.0,1.0,United Kingdom
259,259,517,13.0,0.0,80.0,80.0,1.0,United Kingdom
260,260,519,1.0,0.0,2.0,2.0,1.0,United Kingdom
261,261,520,5.0,0.0,11.0,11.0,1.0,Isle of Man
262,262,521,24.0,0.0,84.0,81.0,1.037037037037037,United Kingdom
263,263,522,3.0,0.0,3.0,3.0,1.0,United Kingdom
264,264,523,10.0,0.0,95.0,97.0,0.979381443298969,United Kingdom
265,265,529,2.0,0.0,11.0,11.0,1.0,United Kingdom
266,266,530,1.0,0.0,5.0,5.0,1.0,United Kingdom
267,267,531,2.0,0.0,2.0,2.0,1.0,United Kingdom
268,268,532,17.0,0.0,41.0,41.0,1.0,United Kingdom
269,269,533,2.0,0.0,11.0,10.0,1.1,United Kingdom
270,270,534,26.0,0.0,100.0,96.0,1.0416666666666667,United Kingdom
271,271,535,24.0,0.0,119.0,118.0,1.0084745762711864,United Kingdom
272,272,536,1.0,0.0,1.0,1.0,1.0,United Kingdom
273,273,537,1.0,0.0,21.0,21.0,1.0,United Kingdom
274,274,538,1.0,0.0,2.0,2.0,1.0,United Kingdom
275,275,540,1.0,0.0,1.0,1.0,1.0,United Kingdom
276,276,541,2.0,0.0,5.0,5.0,1.0,United Kingdom
277,277,542,1.0,0.0,1.0,1.0,1.0,United Kingdom
278,278,547,6.0,0.0,10.0,10.0,1.0,United Kingdom
279,279,548,10.0,0.0,173.0,170.0,1.0176470588235293,United Kingdom
280,280,552,6.0,0.0,25.0,24.0,1.0416666666666667,United Kingdom
281,281,579,1.0,0.0,1.0,1.0,1.0,Falkland Islands
282,282,580,79.0,0.0,453.0,450.0,1.0066666666666666,Netherlands
283,283,582,2.0,0.0,10.0,9.0,1.1111111111111112,Netherlands
284,284,585,3.0,0.0,68.0,67.0,1.0149253731343284,Netherlands
285,285,586,2.0,0.0,6.0,7.0,0.8571428571428571,Netherlands
286,286,591,8.0,0.0,33.0,33.0,1.0,Netherlands
287,287,596,2.0,0.0,34.0,34.0,1.0,Ireland
288,288,599,28.0,0.0,207.0,207.0,1.0,Ireland
289,289,600,3.0,0.0,15.0,15.0,1.0,Ireland
290,290,601,2.0,0.0,6.0,6.0,1.0,Ireland
291,291,603,4.0,0.0,29.0,29.0,1.0,Ireland
292,292,605,1.0,0.0,2.0,2.0,1.0,Ireland
293,293,607,3.0,0.0,8.0,8.0,1.0,Denmark
294,294,608,14.0,0.0,47.0,47.0,1.0,Denmark
295,295,609,61.0,0.0,229.0,228.0,1.0043859649122806,Denmark
296,296,610,2.0,0.0,2.0,2.0,1.0,Denmark
297,297,612,1.0,0.0,1.0,1.0,1.0,Denmark
298,298,618,1.0,0.0,1.0,1.0,1.0,Denmark
299,299,619,1.0,0.0,1.0,1.0,1.0,Denmark
300,300,625,1.0,0.0,4.0,4.0,1.0,Faroe Islands
301,301,628,10.0,0.0,20.0,21.0,0.9523809523809523,Denmark
302,302,629,16.0,0.0,70.0,70.0,1.0,Luxembourg
303,303,630,7.0,0.0,13.0,13.0,1.0,Norway
304,304,631,1.0,0.0,3.0,4.0,0.75,Norway
305,305,632,3.0,0.0,10.0,10.0,1.0,Norway
306,306,634,1.0,0.0,5.0,5.0,1.0,Norway
307,307,635,3.0,0.0,18.0,17.0,1.0588235294117647,Norway
308,308,636,17.0,0.0,69.0,68.0,1.0147058823529411,Norway
309,309,637,1.0,0.0,5.0,3.0,1.6666666666666667,Norway
310,310,638,6.0,0.0,11.0,11.0,1.0,Norway
311,311,640,1.0,0.0,1.0,1.0,1.0,Norway
312,312,641,4.0,0.0,9.0,9.0,1.0,Norway
313,313,642,1.0,0.0,1.0,1.0,1.0,Norway
314,314,643,1.0,0.0,5.0,4.0,1.25,Norway
315,315,644,34.0,0.0,180.0,183.0,0.9836065573770492,Norway
316,316,645,5.0,0.0,12.0,12.0,1.0,Norway
317,317,646,1.0,0.0,2.0,2.0,1.0,Norway
318,318,647,3.0,0.0,7.0,8.0,0.875,Norway
319,319,649,3.0,0.0,7.0,6.0,1.1666666666666667,Norway
320,320,651,4.0,0.0,7.0,7.0,1.0,Norway
321,321,652,1.0,0.0,5.0,4.0,1.25,Norway
322,322,653,1.0,0.0,1.0,3.0,0.3333333333333333,Norway
323,323,655,1.0,0.0,1.0,1.0,1.0,Norway
324,324,656,1.0,0.0,1.0,1.0,1.0,Norway
325,325,657,2.0,0.0,37.0,37.0,1.0,Norway
326,326,658,2.0,0.0,3.0,3.0,1.0,Norway
327,327,659,1.0,0.0,1.0,1.0,1.0,Norway
328,328,660,1.0,0.0,3.0,3.0,1.0,Norway
329,329,662,1.0,0.0,4.0,5.0,0.8,Norway
330,330,663,5.0,0.0,26.0,26.0,1.0,Norway
331,331,664,8.0,0.0,37.0,37.0,1.0,Norway
332,332,665,10.0,0.0,44.0,42.0,1.0476190476190477,Norway
333,333,666,19.0,0.0,54.0,52.0,1.0384615384615385,Norway
334,334,668,9.0,0.0,51.0,50.0,1.02,Poland
335,335,669,12.0,0.0,57.0,57.0,1.0,Poland
336,336,671,6.0,0.0,28.0,28.0,1.0,Poland
337,337,674,6.0,0.0,21.0,21.0,1.0,Poland
338,338,675,4.0,0.0,11.0,11.0,1.0,Poland
339,339,676,4.0,0.0,7.0,7.0,1.0,Poland
340,340,679,40.0,0.0,120.0,120.0,1.0,Poland
341,341,680,7.0,0.0,33.0,33.0,1.0,Poland
342,342,685,3.0,0.0,3.0,3.0,1.0,Sweden
343,343,687,26.0,0.0,52.0,54.0,0.9629629629629629,Sweden
344,344,688,1.0,0.0,2.0,2.0,1.0,Sweden
345,345,691,4.0,0.0,20.0,20.0,1.0,Sweden
346,346,693,1.0,0.0,1.0,1.0,1.0,Sweden
347,347,698,1.0,0.0,2.0,2.0,1.0,Sweden
348,348,699,2.0,0.0,31.0,31.0,1.0,Sweden
349,349,703,1.0,0.0,1.0,1.0,1.0,Sweden
350,350,707,3.0,0.0,3.0,3.0,1.0,Sweden
351,351,708,8.0,0.0,15.0,15.0,1.0,Sweden
352,352,709,4.0,0.0,6.0,4.0,1.5,Sweden
353,353,711,6.0,0.0,7.0,8.0,0.875,Sweden
354,354,714,1.0,0.0,2.0,2.0,1.0,Sweden
355,355,715,3.0,0.0,6.0,6.0,1.0,Sweden
356,356,718,2.0,0.0,4.0,4.0,1.0,Sweden
357,357,719,2.0,0.0,4.0,4.0,1.0,Sweden
358,358,721,4.0,0.0,5.0,5.0,1.0,Sweden
359,359,722,1.0,0.0,1.0,1.0,1.0,Sweden
360,360,724,3.0,0.0,3.0,3.0,1.0,Sweden
361,361,726,2.0,0.0,3.0,3.0,1.0,Sweden
362,362,728,5.0,0.0,8.0,8.0,1.0,Sweden
363,363,729,2.0,0.0,4.0,4.0,1.0,Sweden
364,364,730,2.0,0.0,2.0,2.0,1.0,Sweden
365,365,731,1.0,0.0,2.0,2.0,1.0,Sweden
366,366,733,1.0,0.0,3.0,3.0,1.0,Sweden
367,367,734,4.0,0.0,6.0,6.0,1.0,Sweden
368,368,737,51.0,0.0045662100456621,219.0,220.0,0.9954545454545455,Sweden
369,369,738,5.0,0.0,27.0,27.0,1.0,Sweden
370,370,739,1.0,0.0,2.0,2.0,1.0,Sweden
371,371,742,2.0,0.0,2.0,2.0,1.0,Sweden
372,372,743,2.0,0.0,2.0,2.0,1.0,Sweden
373,373,746,4.0,0.0,8.0,8.0,1.0,Sweden
374,374,772,3.0,0.0,5.0,5.0,1.0,Germany
375,375,794,2.0,0.0,4.0,4.0,1.0,South Africa
376,376,797,18.0,0.0,43.0,41.0,1.048780487804878,South Africa
377,377,799,6.0,0.0,21.0,21.0,1.0,South Africa
378,378,800,2.0,0.0,5.0,5.0,1.0,South Africa
379,379,804,3.0,0.0,5.0,5.0,1.0,South Africa
380,380,811,1.0,0.0,2.0,2.0,1.0,South Africa
381,381,813,49.0,0.0,159.0,161.0,0.9875776397515528,South Africa
382,382,815,1.0,0.0,2.0,2.0,1.0,South Africa
383,383,820,3.0,0.0,4.0,4.0,1.0,South Africa
384,384,827,1.0,0.0,1.0,1.0,1.0,South Africa
385,385,838,3.0,0.0,9.0,9.0,1.0,South Africa
386,386,840,1.0,0.0,1.0,1.0,1.0,South Africa
387,387,843,1.0,0.0,1.0,1.0,1.0,South Africa
388,388,845,1.0,0.0,1.0,1.0,1.0,South Africa
389,389,849,1.0,0.0,1.0,1.0,1.0,South Africa
390,390,865,1.0,0.0,2.0,2.0,1.0,South Africa
391,391,866,1.0,0.0,1.0,1.0,1.0,South Africa
392,392,877,1.0,0.0,2.0,2.0,1.0,Botswana
393,393,879,2.0,0.0,4.0,4.0,1.0,Botswana
394,394,880,3.0,0.0,7.0,7.0,1.0,Botswana
395,395,881,3.0,0.0,9.0,9.0,1.0,Botswana
396,396,883,14.0,0.0,24.0,25.0,0.96,Congo (Brazzaville)
397,397,886,9.0,0.0,18.0,18.0,1.0,Congo (Brazzaville)
398,398,887,1.0,0.0,1.0,1.0,1.0,Swaziland
399,399,888,3.0,0.0,3.0,3.0,1.0,Central African Republic
400,400,890,1.0,0.0,2.0,2.0,1.0,Equatorial Guinea
401,401,891,9.0,0.0,14.0,14.0,1.0,Equatorial Guinea
402,402,893,16.0,0.0,41.0,41.0,1.0,Mauritius
403,403,894,1.0,0.0,1.0,1.0,1.0,Mauritius
404,404,897,21.0,0.0,51.0,47.0,1.0851063829787233,Cameroon
405,405,898,1.0,0.0,1.0,1.0,1.0,Cameroon
406,406,900,1.0,0.0,1.0,1.0,1.0,Cameroon
407,407,901,1.0,0.0,2.0,2.0,1.0,Cameroon
408,408,906,6.0,0.0,7.0,7.0,1.0,Zambia
409,409,907,13.0,0.0,34.0,32.0,1.0625,Zambia
410,410,908,1.0,0.0,1.0,1.0,1.0,Zambia
411,411,910,6.0,0.0,9.0,10.0,0.9,Zambia
412,412,912,9.0,0.0,10.0,10.0,1.0,Comoros
413,413,915,9.0,0.0,15.0,15.0,1.0,Mayotte
414,414,916,7.0,0.0,19.0,21.0,0.9047619047619048,Reunion
415,415,917,3.0,0.0,3.0,3.0,1.0,Reunion
416,416,918,9.0,0.0,27.0,27.0,1.0,Madagascar
417,417,920,1.0,0.0,3.0,3.0,1.0,Madagascar
418,418,921,2.0,0.0,7.0,6.0,1.1666666666666667,Madagascar
419,419,922,1.0,0.0,2.0,2.0,1.0,Madagascar
420,420,923,1.0,0.0,5.0,5.0,1.0,Madagascar
421,421,924,1.0,0.0,1.0,1.0,1.0,Madagascar
422,422,927,1.0,0.0,3.0,3.0,1.0,Madagascar
423,423,929,2.0,0.0,3.0,3.0,1.0,Madagascar
424,424,930,3.0,0.0,4.0,4.0,1.0,Madagascar
425,425,932,1.0,0.0,4.0,4.0,1.0,Madagascar
426,426,933,1.0,0.0,3.0,3.0,1.0,Madagascar
427,427,937,1.0,0.0,2.0,2.0,1.0,Madagascar
428,428,943,1.0,0.0,3.0,3.0,1.0,Madagascar
429,429,944,1.0,0.0,1.0,1.0,1.0,Angola
430,430,946,2.0,0.0,3.0,2.0,1.5,Angola
431,431,948,1.0,0.0,3.0,3.0,1.0,Angola
432,432,949,1.0,0.0,2.0,2.0,1.0,Angola
433,433,951,19.0,0.0,46.0,46.0,1.0,Angola
434,434,952,1.0,0.0,2.0,2.0,1.0,Angola
435,435,953,1.0,0.0,3.0,3.0,1.0,Angola
436,436,957,1.0,0.0,2.0,2.0,1.0,Angola
